"DownTime","EventTime","Keypress","WindowSize","XminA","YminA","ZminA","XminG","YminG","ZminG","XminO","YminO","ZminO","XmaxA","YmaxA","ZmaxA","XmaxG","YmaxG","ZmaxG","XmaxO","YmaxO","ZmaxO","XmeanA","YmeanA","ZmeanA","XmeanG","YmeanG","ZmeanG","XmeanO","YmeanO","ZmeanO","XmedianA","YmedianA","ZmedianA","XmedianG","YmedianG","ZmedianG","XmedianO","YmedianO","ZmedianO","XsdA","YsdA","ZsdA","XsdG","YsdG","ZsdG","XsdO","YsdO","ZsdO","XvarA","YvarA","ZvarA","XvarG","YvarG","ZvarG","XvarO","YvarO","ZvarO","XskewA","YskewA","ZskewA","XskewG","YskewG","ZskewG","XskewO","YskewO","ZskewO","XrmsA","YrmsA","ZrmsA","XrmsG","YrmsG","ZrmsG","XrmsO","YrmsO","ZrmsO","MagnRmsA","MagnRmsG","MagnRmsO","TotalTime"
19816657,19816815,"9",32,-0.08989811,-0.21898955,-0.28162527,-0.1240387,-0.07296753,-0.036590576,244.5373,-8.42811,63.96986,0.13336372,0.113797486,0.57202625,0.047592163,0.04585266,0.013473511,244.76071,-8.162755,64.343575,0.00104013053125,-0.05208633625,0.113375991725,-0.0125946996375,0.010484695576875,-0.012663364446875,244.666748125,-8.25908225,64.12499515625,0.00352621075,-0.062446355,0.07755184,0.006729126,0.024208069,-0.0062789917,244.689145,-8.2503715,64.0699775,0.0600209097888655,0.074866932635831,0.209876560059646,0.0565016476136245,0.0326869917004934,0.0162815767301673,0.0784352152411117,0.0682296205091496,0.138783804176673,0.00360250961188314,0.00560505760229805,0.0440481704624702,0.00319243618305419,0.00106843942642813,0.000265089740820326,0.00615208298991951,0.00465528111482257,0.0192609443017491,-0.12426070651854,0.415137299683161,0.512074598251738,-1.02601391925642,-1.25952613341146,-1.17636753233716,-0.856638498325649,-0.383004475255689,1.18928119696078,0.0590847954894813,0.0902379408905938,0.235639089785938,0.057020163199456,0.0338375462421847,0.0204246538657101,244.666760304486,8.25935526635373,64.125140645685,0.259151846741159,0.0693789956148015,253.06535561024,158
19817366,19817565,"2",39,-0.09261608,-0.1772232,-0.32549095,-0.11679077,-0.05656433,-0.032714844,244.77505,-9.504852,64.24988,0.16341782,0.15846622,0.40460062,0.08885193,0.050842285,0.021575928,245.0704,-9.078673,64.45699,0.0093367651025641,-0.00980896782461538,0.0594488652282051,-0.000973041251282051,-0.00597401145384615,-0.008339515098,244.84725025641,-9.20551306410256,64.3192108717949,0.006497383,-0.006217599,0.07034159,0.010192871,-0.003616333,-0.008346558,244.83232,-9.170701,64.28555,0.0600730659487084,0.072631456747,0.196774459946236,0.0618859298035447,0.0300756763654561,0.0166041125535826,0.0720175009975532,0.115008111675139,0.0698109373029364,0.00360877325247787,0.00527532850919133,0.038720188087133,0.00382986830764926,0.000904546308839654,0.000275696553692041,0.00518652044993258,0.0132268657510813,0.00487356696711452,0.14179643028317,-0.148339396680092,-0.166069185626595,-0.541281949874291,-0.235174606735106,0.00127249836037998,0.621942841813962,-0.908076750296493,1.44651567914688,0.0600284581474395,0.0723621415203189,0.203129343839059,0.0610951173617644,0.0302826951672384,0.0183895329837234,244.847260576176,9.20621303733029,64.3192477861342,0.223833030720339,0.070624570196208,253.32173417597,199
19818067,19818216,"0",30,-0.15354729,-0.34503984,-0.6027765,-0.09593201,-0.18148804,-0.015686035,244.34665,-8.66163,64.4375,0.08298397,0.17931682,0.47582006,0.11804199,0.13040161,0.024795532,244.97012,-8.327575,64.81775,-0.02779947925,-0.0913877028,0.0855085214333333,0.0169367469533333,0.00285746254333333,-0.00174865724,244.713860333333,-8.4520261,64.6539084,-0.0259890555,-0.094451785,0.16115689,0.0320739745,0.0320739745,-0.0011291504,244.796815,-8.416248,64.67316,0.0576817868724788,0.130118568457346,0.288966480951868,0.0824164618491654,0.0997595200506668,0.0110042896751043,0.230162927382461,0.111889657552645,0.137932125596464,0.00332718853680207,0.016930841857389,0.0835016271137062,0.00679247318373494,0.00995196184073938,0.000121094391253607,0.0529749731412639,0.0125192954672483,0.0190252712715588,-0.0941592059553788,0.0706451562523403,-0.785368271615563,-0.551002574256466,-0.878608235339181,-0.16889054858349,-1.08125145448109,-0.9592870542972,-0.418718987692088,0.0631592693024007,0.157220204443334,0.296698410479335,0.0827823097545908,0.0981243846939585,0.0109597314605859,244.713964963961,8.45274199184499,64.6540506270965,0.341668308107412,0.128846503225975,253.251889939749,149
19818709,19818901,"8",38,-0.10958004,-0.26024795,-0.48134804,-0.15544128,-0.062286377,-0.028503418,244.16034,-8.656788,64.464,0.14743042,0.12523884,0.7124891,0.102645874,0.040039063,0.022476196,244.56017,-8.231388,64.73556,0.00469709668421052,-0.0367647516394737,0.0944041070026316,0.00369383183684211,0.00257592456460526,0.000114440930526316,244.293292368421,-8.39543173684211,64.5769994210526,-0.0179100035,0.0084123912,0.022362232,0.015022278,0.0035095215,0.00056457518,244.250785,-8.411695,64.583497,0.0668788247701765,0.109558932986308,0.321451458198122,0.077246763236991,0.0219322015899307,0.0166436457542302,0.11722987976815,0.103447056769604,0.0745496003185529,0.00447277720263998,0.0120031597970983,0.103331039977699,0.00596706243059174,0.000481021466581358,0.000277010943992306,0.0137428447104549,0.0107012935542938,0.00555764290765598,1.01409228983455,-1.23706415190589,0.672342960331785,-0.439958090997387,-0.127702218799142,-0.0811362347145503,1.08779524055924,0.471640189651272,-0.26147339165856,0.0661599218309199,0.114188152336269,0.330944009618717,0.0763130320818851,0.0217944578803194,0.0164235891033257,244.293319755972,8.3960522704746,64.5770413197739,0.35628641132263,0.0810457373269114,252.823879482809,192
19819352,19819560,"4",41,-0.50474644,-0.3643996,-0.6657748,-0.06535339,-0.037857056,-0.03491211,243.38083,-8.378522,64.16553,0.61764336,0.35828215,0.78807163,0.17907715,0.08265686,0.03024292,244.28903,-7.460301,64.51383,-0.00607792988048781,0.0875469174951219,0.0427083155390244,0.0363795584958537,0.0230314674243902,-0.00291107919865854,243.795069512195,-7.98479036829268,64.3685848536585,0.02427864,0.10363883,0.021211624,0.0024108887,0.026733398,-0.0040740967,243.73569,-8.051054,64.383385,0.205288884865254,0.160101251256118,0.282904759121415,0.0717691669172052,0.0361006543447837,0.0206111534943643,0.295228073910248,0.316247443624444,0.0819788464048988,0.0421435262492197,0.0256324106537747,0.0800351027335461,0.00515081331998966,0.00130325724412155,0.000424819648368245,0.0871596156247549,0.100012445598996,0.00672053125787799,-0.443617342951806,-0.301532543536503,0.227956838963588,1.4199135055465,-0.307634083880088,0.169279827302164,0.603392943719432,0.628592891830693,-0.541608487695935,0.202860978496912,0.180753126304967,0.282678310581656,0.0796784538201666,0.0424490161698779,0.0205653245933746,243.795243908136,7.99089796851625,64.3686357838855,0.392085828026266,0.0925932370780601,252.276230896312,208
19820045,19820228,"6",36,-0.16915798,-0.20945525,-0.2624359,-0.1083374,-0.025619507,-0.030319214,243.93893,-8.357905,63.94519,0.2023735,0.19927096,0.5584483,0.07839966,0.04359436,0.015609741,244.30804,-8.076805,64.154175,-0.00900726853333333,-0.0546322744586111,0.0787304905361111,0.00406858658888889,0.000539143894444444,-0.00525961985527778,244.111338055556,-8.169411625,64.00591725,-0.007698536,-0.0593106445,0.046245575,0.0095062256,0.0010070801,-0.004676819,244.1257,-8.151433,63.989288,0.0674321749471255,0.100357740221678,0.216932301674439,0.0564499103620096,0.0181707820025328,0.0135446470685086,0.109786147443095,0.0729113026635176,0.0561110381100975,0.00454709821809975,0.0100716760224019,0.0470596235097698,0.00318659237987892,0.000330177318583568,0.000183457464210459,0.0120529981703971,0.00531605805609107,0.00314844859779282,-0.0582243951508102,0.139850798684434,0.449240366031742,-0.288980388608585,-0.0772563677485645,-0.129084394520576,-0.392452366138687,-0.739746418314735,0.889089770574117,0.0670963547496823,0.113033590832649,0.227927404858798,0.0558088641858403,0.0179247427468181,0.0143535718397888,244.111362057292,8.16972794458064,64.0059411617823,0.263114833034712,0.0603485770239296,252.495271330297,183
19820730,19820988,"5",51,-0.1215868,-0.21770006,-0.43826342,-0.14849854,-0.049438477,-0.026367188,244.0228,-8.488202,63.911026,0.17899418,0.20166141,0.56910515,0.11958313,0.04951477,0.039031982,244.62509,-7.911071,64.24026,0.00560883900392157,-0.0272262081705882,0.0853688488823529,0.00210092544117647,-0.00168594661313726,-0.000182207866078431,244.366984705882,-8.12915308431372,64.0338912745098,0.003955841,-0.05147016,0.13982344,0.0076141357,-0.0012054443,-0.0010070801,244.45105,-8.125146,64.030945,0.0710938328654492,0.103772634052711,0.306853917697456,0.0725657830291738,0.0274208197277809,0.01520952019463,0.181657709931101,0.135413129442809,0.0790297578764044,0.00505433307150042,0.0107687595782378,0.0941593268062772,0.00526579286663712,0.000751901354543459,0.000231329504550859,0.0329995235774119,0.0183367156254949,0.0062457026300031,0.0697528015003777,0.700877029403452,-0.532382882965211,-0.227926029128923,-0.0525697974649287,0.162701825573591,-1.38830266245592,-0.0887746482976606,0.111841713386125,0.0706164823284402,0.10629616098897,0.315596111914973,0.0718815408420285,0.0272029521690428,0.0150607712823437,244.367050902365,8.13025873145432,64.0339390869687,0.340421014735113,0.0783184738880585,252.748297776173,258
19821506,19821647,"1",28,-0.086933136,-0.08010471,-0.2106967,-0.014755249,-0.032608032,-0.013549805,243.81473,-7.7267046,63.89841,0.107746124,0.12747675,0.27799606,0.04612732,0.024765015,0.0067443848,244.0097,-7.457113,63.974506,-7.42510714285676e-06,0.0122720679071429,0.0155053138214286,0.0160495213642857,-0.00552749636785714,-0.0047236851125,243.921444285714,-7.62103449285714,63.9262945,-0.0073237419,-0.0081124303,0.0192370415,0.018692017,-0.0062713623,-0.006210327,243.931285,-7.62724085,63.9198975,0.0518549487242986,0.0700983278815651,0.109218129671051,0.0188958736019753,0.0167962670687573,0.00765073649652817,0.0612804327073854,0.0744537344968346,0.0234550465808774,0.00268893570719963,0.00491377557179141,0.0119285998488424,0.000357054039181828,0.00028211458744502,5.85337689393082e-05,0.00375529143280439,0.00554335858052513,0.000550139210111128,0.42327590555087,0.872395911137149,-0.102502973356462,-0.419535347988046,0.132862724038222,0.582940696562203,-0.481754804150254,0.250075722250887,0.818203448619262,0.0509205493314593,0.069920578071138,0.108365092083985,0.0245334311753108,0.017395179865742,0.00887448467425179,243.921451708542,7.62138518399423,63.9262986492422,0.138653462864763,0.0313566261901493,252.274318500155,141
19822173,19822306,"7",27,-0.1671257,-0.15509462,-0.64397573,-0.036361694,-0.040527344,-0.012329102,243.89851,-7.565819,63.93385,0.11804581,0.12667459,0.29680157,0.036514282,0.055877686,0.003921509,243.98169,-7.4168386,64.14738,-0.012436513437037,-0.00351359879407407,0.0422948386666667,0.00165020978518519,0.0238873516592593,-0.00297772444333333,243.947547037037,-7.50995108518519,64.0568756666667,-0.012834549,-0.004158914,0.12326765,-0.0022125244,0.030700684,-0.0015563965,243.95184,-7.527319,64.04168,0.0722282853738227,0.0952002252728716,0.21673494365513,0.0224804599336076,0.0301657459714218,0.00531466179247526,0.0242168736175064,0.053251409850695,0.073547852050944,0.00521692520804237,0.00906308289200551,0.0469740358011926,0.000505371078826539,0.000909972230012353,2.82456299683963e-05,0.000586456967806279,0.0028357126510867,0.00540928654130755,0.0165323970063626,0.0203355150917847,-1.12080880869184,0.515478890991528,-0.677589642291176,-0.802305771561446,-0.531814679811701,0.978448168612486,0.619827754703635,0.0719609103775255,0.093486675690979,0.216848126750692,0.0221218630272795,0.0380378117682895,0.0060055256543909,243.947548194532,7.51013288751476,64.0569163253851,0.246862798390921,0.044410790201291,252.329342121025,133
19822782,19822898,"3",24,-0.12043285,-0.18418282,-0.39177847,-0.07562256,-0.049484253,-0.027435303,244.2703,-7.9749737,63.914124,0.15208149,0.13557476,0.41807508,0.05758667,0.057617188,0.010894775,244.45087,-7.756657,64.10714,-0.002309838875,-0.0639411588958333,0.033233085625,3.9418333333333e-05,-0.003976821773125,-0.00891494755208333,244.3334575,-7.84238620416667,63.9960104166667,-0.0142822265,-0.0583769075,0.107187985,0.013519287,-0.0011520385275,-0.0083618165,244.30116,-7.83037585,63.987797,0.0787259023750125,0.0851046920134953,0.267734198780696,0.0502753494696272,0.032715090216807,0.0123141516267688,0.060600011497341,0.0683010100972254,0.0643976727657537,0.00619776770476,0.00724280860271189,0.0716816011967414,0.00252761076429314,0.00107027712789382,0.000151638330287052,0.00367236139347786,0.00466502798030129,0.0041470602576451,0.456230564419673,-0.196143758852367,-0.828675227652675,-0.804362504221492,-0.259034888203408,-0.134754971884768,1.59888583526502,-0.527533376866802,0.382626404677993,0.0771029359969956,0.105021410730738,0.264195582464398,0.0492168182933361,0.0322722382084062,0.0149932103427347,244.333464701933,7.8426712303346,63.9960414675485,0.294573700871163,0.060733754356872,252.697136487128,116
19823391,19823532,"4",28,-0.107624054,-0.22559363,-0.46969986,-0.023483276,-0.013687134,-0.0128479,243.82312,-7.8359456,63.908997,0.08492279,0.17916507,0.2567749,0.0443573,0.040786743,0.0019836426,244.10489,-7.567091,64.05912,-0.00209420070714286,0.00233523582142857,0.0489658969642857,0.00894056051785714,0.0118473598407143,-0.00642449516178571,243.976693928571,-7.74631985357143,63.9839554642857,0.013144016,0.03251788,0.114730357,0.0021972656,0.01222229,-0.0075225832,244.01268,-7.77641185,63.986059,0.0515738953591582,0.119728399080915,0.179460394367012,0.0212370015734457,0.0169847500011265,0.00482486042917895,0.0897579556502565,0.0895275722756155,0.0429428350833828,0.0026598666825174,0.0143348895464789,0.0322060331463636,0.000451010235830536,0.000288481732600767,2.32792781610569e-05,0.00805649060251342,0.00801518619756555,0.00184408708499861,-0.886391260599455,-0.756277819053772,-1.09937003539433,0.952577259252381,-0.0662235521737171,0.682768789480496,-1.20277042300699,1.00835962587924,-0.146953668303392,0.050687839966385,0.117594143271997,0.182902916166932,0.0226900055042189,0.0204582195895606,0.00798260693341459,243.976709849679,7.7468187150199,63.983969360165,0.223273635691052,0.0315768445543497,252.346183811764,141
19824058,19824208,"5",29,-0.07225704,-0.14316487,-0.4156642,-0.121398926,-0.039276123,-0.016616821,244.15302,-8.08343,63.9012,0.18169975,0.0826236,0.74226,0.09614563,0.0597229,0.021133423,244.52081,-7.6860685,64.12971,-0.00296349372758621,-0.0302874653586207,0.0664726795517241,0.00770042695365517,0.000254663834482758,-0.00218516384137931,244.28808,-7.87823772758621,64.0080319655172,-0.02264309,-0.044551075,0.010843277,0.020629883,-0.011581421,-0.0039367676,244.2532,-7.8892674,64.01909,0.0579960449551183,0.0744028387967283,0.368476154586981,0.072762120608788,0.0290482095278627,0.010293161538521,0.113036498877892,0.135778662899112,0.0727168783371913,0.0033635412304361,0.00553578242101194,0.135774676499209,0.00529432619548781,0.000843798476774614,0.000105949174458087,0.0127772500785717,0.0184358452986706,0.00528774439510589,1.01797956848489,0.575123605714081,0.452914538912931,-0.533084629948921,1.22239047020744,0.51051479724636,0.925718692977952,0.243698211006576,-0.456209125128349,0.0570643439036118,0.0791342146600393,0.368118742024188,0.0719100813412013,0.0285441207824673,0.0103474970723774,244.288105250218,7.87936734889661,64.0080718465028,0.380828007773169,0.0780570133005685,252.657467845436,150
19824734,19824934,"6",40,-0.1910448,-0.22175258,-0.31441593,-0.0987854,-0.04600525,-0.016311646,244.24945,-8.191407,63.838093,0.15003014,0.19900441,0.6486378,0.045059204,0.07147217,0.017425537,244.64253,-7.834929,64.07027,0.0026770833425,-0.036633097101,0.075579000625,0.0003887175815,-0.00379638671075,-0.000598907487,244.3818215,-7.920398385,63.930899525,0.00379514685,-0.018800259,0.0088927745,0.012008667,-0.00635528565,-0.00144958495,244.34805,-7.8646732,63.9358065,0.0725190710282581,0.105563095339866,0.250623681691889,0.0412496212245145,0.0225162301155953,0.00998290368151946,0.12179701420596,0.108249997226377,0.0665579663690142,0.00525901566280154,0.0111435670977337,0.0628122298247971,0.00170153125116592,0.00050698061861844,9.96583659144948e-05,0.0148345126694868,0.0117180618995106,0.00442996288717882,-0.046252530195719,-0.506791830333874,0.798243314536205,-0.845094990467038,0.340940591668271,0.255640289680884,0.831830736250045,-1.54434696797632,-0.221174501011273,0.0716568701971709,0.110485119918936,0.2587549215274,0.0407325922480381,0.0225547922892351,0.00987550489568088,244.381851092318,7.92111959810371,63.9309333053215,0.29033735237583,0.047596095673911,252.729890421146,200
19825452,19825635,"1",36,-0.083987236,-0.099810064,-0.3288622,-0.011566162,-0.020065308,-0.01675415,243.96223,-7.634058,63.782497,0.107447624,0.12620014,0.34786797,0.036514282,0.036590576,0.012023926,244.1997,-7.432774,63.905025,0.0002801154,-0.00263809335416667,0.05876844475,0.0112618340833333,0.00307337446,-0.00556182861861111,244.103940833333,-7.54646216111111,63.8425321666667,-0.00066995615,0.004239380475,0.066642285,0.00946807875,0.00281524655,-0.007751465,244.130685,-7.55301015,63.8446265,0.0497094161774852,0.0628302439217092,0.132619131967036,0.0121082252081615,0.013153996800786,0.00839646874266087,0.070858767554098,0.0647403754133484,0.0267275403608873,0.00247102605670643,0.00394763955126147,0.0175878341636901,0.000146609117691558,0.000173027631835088,7.0500687346481e-05,0.00502096493928569,0.00419131620866129,0.00071436141374286,0.0573375201153729,-0.328383596810629,-0.178115483035067,0.444430616996847,0.0588706034924479,0.782341880318244,-1.13228754562755,0.303426826632482,-0.235075877360269,0.0490149457681783,0.062007599805226,0.143363221619188,0.0164123596451167,0.0133291762423617,0.00997377924875979,244.103950832135,7.54673214310937,63.8425376059717,0.163708340212999,0.0233775268350522,252.427339220353,183
19826094,19826260,"3",33,-0.12546158,-0.16493571,-0.27832508,-0.07411194,-0.049743652,-0.01461792,244.41415,-8.300167,63.73948,0.14498806,0.12610501,0.36208725,0.06503296,0.07318115,0.010772705,244.80707,-7.9460173,63.96474,-0.0160362650454545,-0.0451988058030303,0.0598900544342424,-0.00151663114393939,-0.000749067642424242,-0.00264809351606061,244.600279393939,-8.06846051212121,63.8189259393939,-0.020522118,-0.05350983,0.037307262,0.0051727295,-0.005844116,-0.0015411377,244.58891,-8.042633,63.798462,0.0525074956389067,0.0906283985927805,0.157603539521232,0.0379691705589636,0.0332764467403243,0.00732177664479653,0.114981483235873,0.0968864833359728,0.0672382706513467,0.00275703709826981,0.0082135066314919,0.0248388756696204,0.00144165791293566,0.00110732190766164,5.3608413236288e-05,0.0132207414871212,0.00938699065321174,0.00452098504018375,0.256297861855454,0.275113242405844,0.429865836189551,-0.528536221265456,0.45933825783763,-0.453560332319329,0.296640649070423,-0.799724932681806,0.913048738272321,0.0541354995926188,0.100037715573496,0.16635203962575,0.0374202014898389,0.032776940074868,0.00768090587986167,244.60030560019,8.06902457376666,63.8189602864489,0.201522202104268,0.0503348348099695,252.91753270448,166
19826795,19827028,"7",47,-0.117295265,-0.11802715,-0.52679443,-0.0398407,-0.13647461,-0.022094727,244.10687,-8.047698,63.873077,0.095775604,0.12620747,0.5897355,0.09953308,0.116622925,0.015213013,244.38031,-7.6439185,64.30641,-0.00482248736808511,-0.0169284217361702,0.0443126192553191,0.0115677851478723,-0.00471399214468085,-0.00489612330170213,244.256928723404,-7.93804629148936,64.1079929148936,-0.00653553,-0.014204264,0.055704117,-0.00044250488,-0.0068359375,-0.0051879883,244.2657,-7.972668,64.12083,0.0486621603739864,0.0588411032660683,0.218643109212986,0.0384517889024426,0.0793227503422583,0.01056145913375,0.0848913109605225,0.109623391553901,0.149632018046422,0.00236800585226357,0.00346227543356811,0.0478048092063219,0.00147854006979801,0.00629209872186024,0.000111544419033871,0.00720653467659612,0.0120172879757799,0.0223897408246449,0.105608297211809,-0.138890550225686,-0.15630263106418,0.937040151110581,0.0802523366687415,0.0829047372910419,-0.309970826101304,0.947472287252166,-0.257373093151778,0.048382632560034,0.0606232749139222,0.22079695159004,0.0397604756469027,0.0786158126772834,0.0115387675645184,244.256943161488,7.93878709418672,64.1081638244257,0.234024260336792,0.0888509121139769,252.65457702575,233
